,Number of Trees (k),Train Error,Test Error
0,3,0.08250000000000002,0.43333333333333335
1,10,0.010000000000000009,0.35
2,30,0.0,0.30666666666666664
3,100,0.0,0.2716666666666666
4,300,0.0,0.2616666666666667
